project,commit,source_path,line,protocol_or_fields,sites,classification,static_sites,lazy_constant_compatible_memo_sites,rationale
Caffeine,8047b24488477a144d44ef6f9a38ea2470082420,caffeine/src/main/java/com/github/benmanes/caffeine/cache/UnboundedLocalCache.java,613,"keySet, values, entrySet",3,weak memoization,0,3,"View wrappers share the same cache and distinct candidates are interchangeable."
Caffeine,8047b24488477a144d44ef6f9a38ea2470082420,caffeine/src/main/java/com/github/benmanes/caffeine/cache/BoundedLocalCache.java,4408,"eviction, expireAfterAccess, expireAfterWrite, expireVariably, refreshAfterWrite",5,weak memoization,0,5,"Policy objects are stateless views over the cache; losing candidates are interchangeable and construction is deterministic."
Caffeine,8047b24488477a144d44ef6f9a38ea2470082420,caffeine/src/main/java/com/github/benmanes/caffeine/cache/BoundedLocalCache.java,4905,"async asMap, synchronous view, policy",3,weak memoization,0,3,"The wrappers delegate to the same async cache and have no independent semantic state."
Caffeine,8047b24488477a144d44ef6f9a38ea2470082420,caffeine/src/main/java/com/github/benmanes/caffeine/cache/UnboundedLocalCache.java,1217,manual-cache policy,1,weak memoization,0,1,"The policy is an interchangeable view and its construction is deterministic."
SLF4J,61400453cd366f227dbc36036d6ac128a36da59b,slf4j-api/src/main/java/org/slf4j/LoggerFactory.java,506,getProvider/PROVIDER and initialization state,1,lazy initialization,1,0,"Service discovery and provider initialization execute third-party code and emit diagnostics; failure is terminal."
SLF4J,61400453cd366f227dbc36036d6ac128a36da59b,slf4j-api/src/main/java/org/slf4j/MDC.java,259,getMDCAdapter/MDC_ADAPTER,1,strong memoization,1,0,"One state-bearing adapter is required, while provider access may be repeated; arbitrary provider failures may be transient."
SLF4J,61400453cd366f227dbc36036d6ac128a36da59b,slf4j-api/src/main/java/org/slf4j/helpers/SubstituteLogger.java,447,getEventRecordingLogger/eventRecordingLogger,1,weak memoization,0,1,"Recording loggers share the substitute logger and queue, making racing candidates interchangeable."
SLF4J,61400453cd366f227dbc36036d6ac128a36da59b,slf4j-api/src/main/java/org/slf4j/helpers/SubstituteLogger.java,462,isDelegateEventAware/delegateEventAware and logMethodCache,1,weak memoization,0,1,"Reflection against the established delegate produces equivalent method metadata and catches lookup failure."
SLF4J,61400453cd366f227dbc36036d6ac128a36da59b,slf4j-api/src/main/java/org/slf4j/helpers/Util.java,73,getSecurityManager/SECURITY_MANAGER and attempted flag,1,weak memoization,1,1,"The internal helper does not escape and security failure is converted into a cached null outcome."
Logback,2d851505fd9d0b8a391cd6bf2f8d437fd6575cd5,logback-classic/src/main/java/ch/qos/logback/classic/spi/LoggingEvent.java,208,"threadName, callerDataArray, formattedMessage, mdcPropertyMap",4,lazy initialization,0,0,"Values capture caller thread/context or invoke argument toString methods; duplicate or later execution can change the event."
Logback,2d851505fd9d0b8a391cd6bf2f8d437fd6575cd5,logback-classic/src/main/java/ch/qos/logback/classic/spi/LoggingEventVO.java,116,getFormattedMessage/formattedMessage,1,lazy initialization,0,0,"Formatting may invoke user argument toString methods and must describe one event snapshot."
Logback,2d851505fd9d0b8a391cd6bf2f8d437fd6575cd5,logback-classic/src/main/java/ch/qos/logback/classic/spi/StackTraceElementProxy.java,48,getSTEAsString/steAsString,1,weak memoization,0,1,"The immutable stack-trace element deterministically produces interchangeable strings."
Logback,2d851505fd9d0b8a391cd6bf2f8d437fd6575cd5,logback-classic/src/main/java/ch/qos/logback/classic/spi/ThrowableProxy.java,171,getPackagingDataCalculator/packagingDataCalculator,1,weak memoization,0,1,"Fresh calculators are equivalent until used and allocation is non-throwing apart from catastrophic failures."
Logback,2d851505fd9d0b8a391cd6bf2f8d437fd6575cd5,logback-classic/src/main/java/ch/qos/logback/classic/spi/PlatformInfo.java,27,hasJMXObjectName/hasJMXObjectName,1,weak memoization,1,1,"The class-presence probe catches all failures and yields an interchangeable boolean."
Logback,2d851505fd9d0b8a391cd6bf2f8d437fd6575cd5,logback-core/src/main/java/ch/qos/logback/core/ContextBase.java,226,"threadPoolExecutor, alternateExecutorService, scheduledExecutorService",3,lazy initialization,0,0,"Competing creation can leak executor resources and split submitted work."
Logback,2d851505fd9d0b8a391cd6bf2f8d437fd6575cd5,logback-core/src/main/java/ch/qos/logback/core/ContextBase.java,290,getLifeCycleManager/lifeCycleManager,1,strong memoization,0,1,"The API explicitly requires one established manager; constructing a candidate is otherwise safe."
Logback,2d851505fd9d0b8a391cd6bf2f8d437fd6575cd5,logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanDescriptionCache.java,45,getBeanDescriptionFactory/beanDescriptionFactory,1,weak memoization,0,1,"The factory is confined and distinct candidates over the same context are interchangeable."
JUnit 5,c49591559a994a5ef81f6db2d20725feb45bacc7,junit-platform-engine/src/main/java/org/junit/platform/engine/discovery/MethodSelector.java,212,"javaClass, javaMethod, parameterTypes",3,weak memoization,0,0,"Successful reflective results are interchangeable, but dynamic class availability makes lookup failure potentially transient."
JUnit 5,c49591559a994a5ef81f6db2d20725feb45bacc7,junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/MethodSource.java,199,"javaClass, javaMethod",2,weak memoization,0,0,"Successful reflective results are interchangeable, but class loading can fail transiently."
JUnit 5,c49591559a994a5ef81f6db2d20725feb45bacc7,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/ExclusiveResourceCollector.java,104,getProviders/providers,1,lazy initialization,0,0,"Provider construction invokes extension constructors, so duplicate or retried execution can be observable."
JUnit 5,c49591559a994a5ef81f6db2d20725feb45bacc7,junit-vintage-engine/src/main/java/org/junit/vintage/engine/discovery/UniqueIdFilter.java,48,ensureInitialized/path and descendants,1,weak memoization,0,1,"The paired traversal result is derived from an established descriptor tree and losing results are equivalent."
Mockito,ee8a330da0218f32d5964acdeaa3ac39e2c6ce14,mockito-core/src/main/java/org/mockito/internal/PremainAttachAccess.java,20,getInstrumentation/inst,1,lazy initialization,1,0,"Dynamic agent attachment is an external VM action that must not race or be duplicated."
Mockito,ee8a330da0218f32d5964acdeaa3ac39e2c6ce14,mockito-core/src/main/java/org/mockito/internal/debugging/LocationImpl.java,78,stackTraceLine/stackTraceLine,1,weak memoization,0,1,"The captured frame metadata deterministically produces equivalent strings."
Mockito,ee8a330da0218f32d5964acdeaa3ac39e2c6ce14,mockito-core/src/main/java/org/mockito/internal/invocation/SerializableMethod.java,71,getJavaMethod/method,1,weak memoization,0,0,"Successful Method objects are equivalent, but a security denial can be transient."
Mockito,ee8a330da0218f32d5964acdeaa3ac39e2c6ce14,mockito-core/src/main/java/org/mockito/internal/util/reflection/GenericMetadataSupport.java,474,"rawType, extraInterfaces",2,weak memoization,0,2,"Both values are deterministic functions of immutable reflective Type metadata."
Mockito,ee8a330da0218f32d5964acdeaa3ac39e2c6ce14,mockito-core/src/main/java/org/mockito/internal/util/reflection/InstanceField.java,109,reader/fieldReader,1,weak memoization,0,1,"Reader wrappers around the same field and instance are interchangeable."
Mockito,ee8a330da0218f32d5964acdeaa3ac39e2c6ce14,mockito-core/src/main/java/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,205,"LazyHolder.MOCKITO_CORE, LazyHolder.DELEGATE",2,weak memoization,2,2,"The holders use class-initialization strength, but the stateless helper instances could safely be reconstructed and are interchangeable."
RxJava,ddcbd7bc0e2e7e954e558fe07a830264394bebb4,src/main/java/io/reactivex/rxjava4/schedulers/Schedulers.java,69,"SingleHolder, ComputationHolder, IoHolder",3,lazy initialization,3,0,"Constructors create executor or worker-pool resources; duplicate initialization can leak resources and split work."
RxJava,ddcbd7bc0e2e7e954e558fe07a830264394bebb4,src/main/java/io/reactivex/rxjava4/schedulers/Schedulers.java,81,"VirtualHolder, NewThreadHolder",2,weak memoization,2,2,"These default schedulers are stateless factories until use; distinct instances are interchangeable."
RxJava,ddcbd7bc0e2e7e954e558fe07a830264394bebb4,src/main/java/io/reactivex/rxjava4/internal/schedulers/ExecutorScheduler.java,42,SingleHolder.HELPER,1,weak memoization,1,1,"The holder merely retrieves the already-established global single scheduler."
RxJava,ddcbd7bc0e2e7e954e558fe07a830264394bebb4,src/main/java/io/reactivex/rxjava4/internal/schedulers/DeferredExecutorScheduler.java,44,SingleHolder.HELPER,1,weak memoization,1,1,"The holder merely retrieves the already-established global single scheduler."
RxJava,ddcbd7bc0e2e7e954e558fe07a830264394bebb4,src/main/java/io/reactivex/rxjava4/exceptions/CompositeException.java,103,getCause/cause,1,lazy initialization,0,0,"Building the aggregate cause calls methods on arbitrary Throwable subclasses; repeated execution can be observable."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,codec-mqtt/src/main/java/io/netty/handler/codec/mqtt/MqttDecoder.java,105,utf8Decoder,1,weak memoization,0,1,"The decoder is channel-confined and replacement construction is deterministic."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,buffer/src/main/java/io/netty/buffer/ByteBufOutputStream.java,42,utf8out,1,weak memoization,0,1,"The stream is confined; alternate wrappers over the same output are interchangeable."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,buffer/src/main/java/io/netty/buffer/AdaptivePoolingAllocator.java,2276,AdaptiveByteBuf.tmpNioBuf,1,weak memoization,0,1,"The mutable scratch buffer is confined and deterministic to recreate."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,buffer/src/main/java/io/netty/buffer/PooledByteBuf.java,161,tmpNioBuf,1,weak memoization,0,1,"The mutable scratch buffer is confined and deterministic to recreate."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,transport/src/main/java/io/netty/channel/AbstractChannelHandlerContext.java,134,executor/contextExecutor,1,weak memoization,0,0,"The established executor is canonical, but access before channel registration can fail transiently."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,transport/src/main/java/io/netty/channel/AbstractChannelHandlerContext.java,1066,invokeTasks/invokeTasks,1,weak memoization,0,1,"Task bundles only retain the same context and are explicitly documented as safe to duplicate."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,transport/src/main/java/io/netty/channel/DefaultFileRegion.java,85,open/file,1,lazy initialization,0,0,"Opening a file descriptor is an external resource action; racing attempts can leak channels."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,handler/src/main/java/io/netty/handler/ssl/util/LazyX509Certificate.java,248,"LazyX509Certificate.wrapped, LazyJavaxX509Certificate.wrapped",2,weak memoization,0,2,"Certificates parsed from fixed bytes are interchangeable and parse failure is deterministic for the bytes/provider."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,codec-http/src/main/java/io/netty/handler/codec/http/QueryStringDecoder.java,204,"path, params",2,weak memoization,0,2,"Both values are deterministic functions of immutable URI and decoder settings."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,codec-base/src/main/java/io/netty/handler/codec/HeadersUtils.java,142,"StringEntry.name, StringEntry.value",2,lazy initialization,0,0,"CharSequence.toString can be supplied by user implementations and must not be duplicated without semantic assumptions."
Netty,10e24f9bfb5d754c2f2c6e1be61c3f5d9ad038a0,transport/src/main/java/io/netty/channel/DefaultChannelId.java,224,"shortValue, longValue",2,weak memoization,0,2,"Strings are deterministic functions of immutable identifier components."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java,484,getJaxbContext/jaxbContext,1,lazy initialization,0,0,"JAXB provider discovery, scanning, and context construction invoke provider and application code."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-aop/src/main/java/org/springframework/aop/target/LazyInitTargetSource.java,68,getTarget/target,1,lazy initialization,0,0,"Bean creation and post-processing execute arbitrary application lifecycle code."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-jms/src/main/java/org/springframework/jms/connection/SingleConnectionFactory.java,327,getConnection/connection,1,lazy initialization,0,0,"Creating a JMS connection is an external resource action and one shared connection is required."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-jdbc/src/main/java/org/springframework/jdbc/support/JdbcAccessor.java,114,getExceptionTranslator/exceptionTranslator,1,lazy initialization,0,0,"The error-code translator may load user resources and inspect a DataSource."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-beans/src/main/java/org/springframework/beans/factory/xml/DefaultNamespaceHandlerResolver.java,150,getHandlerMappings/handlerMappings,1,lazy initialization,0,0,"Mapping discovery uses a configurable ClassLoader and external resources."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-beans/src/main/java/org/springframework/beans/factory/xml/PluggableSchemaResolver.java,143,getSchemaMappings/schemaMappings,1,lazy initialization,0,0,"Mapping discovery performs external resource I/O through a configurable ClassLoader."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-web/src/main/java/org/springframework/web/method/ControllerAdviceBean.java,125,getOrder/order,1,lazy initialization,0,0,"Order resolution can instantiate an application bean and invoke Ordered.getOrder."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-web/src/main/java/org/springframework/web/method/ControllerAdviceBean.java,184,resolveBean/resolvedBean,1,lazy initialization,0,0,"Singleton bean creation executes application and container lifecycle code."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodesFactory.java,80,getInstance/instance,1,lazy initialization,1,0,"Construction loads XML resources and logs diagnostics; duplicate execution is externally observable."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-core/src/main/java/org/springframework/util/UnmodifiableMultiValueMap.java,143,"keySet, entrySet, values",3,weak memoization,0,3,"The unmodifiable view wrappers are deterministic and interchangeable."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-core/src/main/java/org/springframework/util/unit/DataSize.java,278,DataSizeUtils.PATTERN,1,weak memoization,1,1,"The holder has class-initialization strength, but regex compilation is repeatable and any syntax failure is deterministic."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-expression/src/main/java/org/springframework/expression/spel/ast/InlineList.java,82,InlineList.constant,1,weak memoization,0,0,"Constant values are interchangeable, but evaluation can hit a per-evaluation operation limit and later succeed in another state."
Spring Framework,7c2fdcc1fb34fe7ac7a48cbe66fbf5ac803f3cae,spring-expression/src/main/java/org/springframework/expression/spel/ast/InlineMap.java,86,InlineMap.constant,1,weak memoization,0,0,"Constant values are interchangeable, but evaluation can hit a per-evaluation operation limit and later succeed in another state."
