module	fit	confidence	path	line	class	method	field	fieldLine	fieldType	fieldMods	paramCount	sync	assignmentsTotal	nullAssignments	rationale	signature	context
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Short.java	246	java.lang.Short		archivedCache	239	Short[]	static	0	False	1	0	static backing field; cache/lazy naming or comment		244:// Load and use the archived cache if it exists | 245:CDS.initializeFromArchive(ShortCache.class); | 246:if (archivedCache == null) {
java.base	Cached Method	high	src/java.base/share/classes/java/lang/StackFrameInfo.java	148	java.lang.StackFrameInfo		s	156	return		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/StackFrameInfo.java	151	java.lang.StackFrameInfo		s	156	return		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Thread.java	1903	java.lang.Thread		name	1919	return		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/AbstractConstantGroup.java	266	java.lang.invoke.AbstractConstantGroup		x	304	return		0	False	5	0	returns cached field; cache/lazy naming or comment		262:for (int i = 0; i < cache.length; i++) { | 263:Object x = cacheContents.get(i); | 268:cache[i] = x;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/AbstractConstantGroup.java	275	java.lang.invoke.AbstractConstantGroup		x	304	return		0	False	5	0	returns cached field; cache/lazy naming or comment		273:Object x = cache[i]; | 275:if (x == null)  x = fillCache(i);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/BootstrapMethodInvoker.java	345	java.lang.invoke.BootstrapMethodInvoker		x	302	return		0	False	3	0	cache/lazy naming or comment		344:Object x = cache[i];
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/DelegatingMethodHandle.java	141	java.lang.invoke.DelegatingMethodHandle		form	170	return		0	False	3	0	returns cached field; cache/lazy naming or comment		140:form = mtype.form().cachedLambdaForm(whichCache);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/DirectMethodHandle.java	231	java.lang.invoke.DirectMethodHandle		lform	677	return		0	False	12	0	returns cached field; cache/lazy naming or comment		230:LambdaForm lform = mtype.form().cachedLambdaForm(which); | 233:return mtype.form().setCachedLambdaForm(which, lform);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	74	java.lang.invoke.Invokers		invoker	170	return		0	True	16	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		73:MethodHandle invoker = cachedInvoker(INV_EXACT); | 76:return setCachedInvoker(INV_EXACT, invoker);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	82	java.lang.invoke.Invokers		invoker	170	return		0	True	16	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		81:MethodHandle invoker = cachedInvoker(INV_GENERIC); | 84:return setCachedInvoker(INV_GENERIC, invoker);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	90	java.lang.invoke.Invokers		invoker	170	return		0	True	16	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		89:MethodHandle invoker = cachedInvoker(INV_BASIC); | 93:// double cache; not used significantly | 94:return setCachedInvoker(INV_BASIC, basicType.invokers().basicInvoker());
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	97	java.lang.invoke.Invokers		invoker	170	return		0	True	16	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		93:// double cache; not used significantly | 94:return setCachedInvoker(INV_BASIC, basicType.invokers().basicInvoker()); | 96:invoker = basicType.form().cachedMethodHandle(MethodTypeForm.MH_BASIC_INV); | 101:invoker = basicType.form().setCachedMethodHandle(MethodTypeForm.MH_BASIC_INV, invoker);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	110	java.lang.invoke.Invokers		invoker	170	return		0	True	16	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		109:MethodHandle invoker = cachedVHInvoker(isExact, ak); | 112:return setCachedVHInvoker(isExact, ak, invoker);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	119	java.lang.invoke.Invokers		invoker	170	return		0	True	16	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		118:MethodHandle invoker = cachedVHInvoker(isExact, ak); | 121:return setCachedVHInvoker(isExact, ak, invoker);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	381	java.lang.invoke.Invokers		lform	611	return		0	False	20	0	returns cached field; cache/lazy naming or comment		380:LambdaForm lform = mtype.form().cachedLambdaForm(which);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	437	java.lang.invoke.Invokers		lform	611	return		0	False	20	0	returns cached field; cache/lazy naming or comment		436:LambdaForm lform = mtype.form().cachedLambdaForm(which);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/Invokers.java	584	java.lang.invoke.Invokers		lform	611	return		0	False	20	0	returns cached field; cache/lazy naming or comment		583:LambdaForm lform = mtype.form().cachedLambdaForm(which);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaForm.java	390	java.lang.invoke.LambdaForm		name	414	return		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaForm.java	1085	java.lang.invoke.LambdaForm		resolvedHandle	1086	return		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaForm.java	1090	java.lang.invoke.LambdaForm		resolvedHandle	1086	return		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	389	java.lang.invoke.LambdaFormEditor		c	415	Object		0	True	3	0	synchronized lazy path; cache/lazy naming or comment		392:// one-element cache avoids overhead of an array
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	571	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		570:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	606	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		605:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	623	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		622:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	652	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		651:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	694	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		693:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	705	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		704:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	729	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		728:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	942	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		941:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	1045	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		1044:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	1056	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		1055:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	1067	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		1066:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/LambdaFormEditor.java	1159	java.lang.invoke.LambdaFormEditor		form	1160	return		0	False	26	0	returns cached field; cache/lazy naming or comment		1158:LambdaForm form = getInCache(key);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandle.java	872	java.lang.invoke.MethodHandle		at	910	return		0	False	2	0	returns cached field; cache/lazy naming or comment		870:// Return 'this.asTypeCache' if the conversion is already memoized. | 871:MethodHandle at = asTypeCached(newType); | 875:return setAsTypeCache(newType);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandle.java	880	java.lang.invoke.MethodHandle		atc	879	MethodHandle		0	False	2	0	returns cached field; cache/lazy naming or comment		878:private MethodHandle asTypeCached(MethodType newType) { | 879:MethodHandle atc = asTypeCache; | 881:return atc; // cache hit | 883:SoftReference<MethodHandle> softCache = asTypeSoftCache; | 884:if (softCache != null) {
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandleImpl.java	91	java.lang.invoke.MethodHandleImpl		mh	2141	return		0	True	40	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		88:MethodHandle[] cache = ArrayAccessor.TYPED_ACCESSORS.get(arrayClass); | 89:int cacheIndex = ArrayAccess.cacheIndex(access); | 90:MethodHandle mh = cache[cacheIndex];
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandleImpl.java	1465	java.lang.invoke.MethodHandleImpl		mh	2141	return		0	False	40	0	returns cached field; cache/lazy naming or comment		1463:MethodHandle cache[] = Makers.TYPED_COLLECTORS.get(elemType); | 1464:MethodHandle mh = nargs < cache.length ? cache[nargs] : null; | 1468:if (nargs < cache.length) | 1469:cache[nargs] = mh;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandleImpl.java	1750	java.lang.invoke.MethodHandleImpl		lform	2178	return		0	False	17	0	returns cached field; cache/lazy naming or comment		1749:LambdaForm lform = basicType.form().cachedLambdaForm(MethodTypeForm.LF_LOOP);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandleImpl.java	1970	java.lang.invoke.MethodHandleImpl		lform	2178	return		0	False	17	0	returns cached field; cache/lazy naming or comment		1969:LambdaForm lform = basicType.form().cachedLambdaForm(MethodTypeForm.LF_TF);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandleImpl.java	2067	java.lang.invoke.MethodHandleImpl		lform	2178	return		0	False	17	0	returns cached field; cache/lazy naming or comment		2066:LambdaForm lform = basicType.form().cachedLambdaForm(MethodTypeForm.LF_COLLECTOR);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandleProxies.java	295	java.lang.invoke.MethodHandleProxies		cl	307	return		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandleProxies.java	301	java.lang.invoke.MethodHandleProxies		cl	307	return		0	True	3	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		304:// If the referent is cleared, create a new value and update cached weak reference.
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandles.java	2394	java.lang.invoke.MethodHandles		pd	2397	return		0	False	3	0	returns cached field; cache/lazy naming or comment		2393:ProtectionDomain pd = cachedProtectionDomain; | 2395:cachedProtectionDomain = pd = SharedSecrets.getJavaLangAccess().protectionDomain(lookupClass);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandles.java	4856	java.lang.invoke.MethodHandles		ident	4860	return		0	False	2	0	returns cached field; cache/lazy naming or comment		4857:ident = setCachedMethodHandle(IDENTITY_MHS, pos, makeIdentity(btw.primitiveType()));
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodHandles.java	4924	java.lang.invoke.MethodHandles		mh	4928	return		0	True	18	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		4925:mh = setCachedMethodHandle(PRIMITIVE_ZERO_MHS, pos, makePrimitiveZero(w));
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodTypeForm.java	115	java.lang.invoke.MethodTypeForm		entry	129	SoftReference<LambdaForm>		0	True	2	0	synchronized lazy path; cache/lazy naming or comment		113:public MethodHandle cachedMethodHandle(int which) { | 118:public synchronized MethodHandle setCachedMethodHandle(int which, MethodHandle mh) {
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodTypeForm.java	121	java.lang.invoke.MethodTypeForm		prev	150	return		0	True	3	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		118:public synchronized MethodHandle setCachedMethodHandle(int which, MethodHandle mh) { | 120:MethodHandle prev = cachedMethodHandle(which);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodTypeForm.java	136	java.lang.invoke.MethodTypeForm		prev	150	return		0	True	3	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		133:public synchronized LambdaForm setCachedLambdaForm(int which, LambdaForm form) { | 135:LambdaForm prev = cachedLambdaForm(which);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/MethodTypeForm.java	144	java.lang.invoke.MethodTypeForm		interpretEntry	66	SoftReference<MemberName>	private	0	True	1	0	synchronized lazy path; cache/lazy naming or comment		143:public MemberName cachedInterpretEntry() { | 147:public synchronized MemberName setCachedInterpretEntry(MemberName mn) { | 148:MemberName prev = cachedInterpretEntry();
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/NativeMethodHandle.java	90	java.lang.invoke.NativeMethodHandle		lform	124	return		0	False	4	0	returns cached field; cache/lazy naming or comment		89:LambdaForm lform = mtype.form().cachedLambdaForm(id); | 92:return mtype.form().setCachedLambdaForm(id, lform);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/VarHandle.java	2119	java.lang.invoke.VarHandle		mt	2123	return		0	False	3	0	returns cached field; cache/lazy naming or comment		2121:accessModeTypeUncached(accessTypeOrdinal);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/invoke/VarHandle.java	2207	java.lang.invoke.VarHandle		mh	2231	return		0	False	10	0	returns cached field; cache/lazy naming or comment		2208:mh = mhTable[mode] = getMethodHandleUncached(mode);
java.base	Cached Method	high	src/java.base/share/classes/java/lang/module/Configuration.java	644	java.lang.module.Configuration		allConfigurations	667	List<Configuration>	private volatile	0	False	3	0	volatile backing field; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/reflect/Parameter.java	215	java.lang.reflect.Parameter		tmp	239	return		0	False	4	0	returns cached field; cache/lazy naming or comment		214:Type tmp = parameterTypeCache; | 217:parameterTypeCache = tmp;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/reflect/Parameter.java	235	java.lang.reflect.Parameter		tmp	239	return		0	False	4	0	returns cached field; cache/lazy naming or comment		234:Class<?> tmp = parameterClassCache; | 237:parameterClassCache = tmp;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/reflect/Parameter.java	378	java.lang.reflect.Parameter		declaredAnnotations	383	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/reflect/Proxy.java	1013	java.lang.reflect.Proxy		superMH	1055	return		0	False	3	0	returns cached field; cache/lazy naming or comment		1010:// lookup the cached method handle
java.base	Cached Method	high	src/java.base/share/classes/java/lang/reflect/RecordComponent.java	132	java.lang.reflect.RecordComponent		genericInfo	130	var		0	False	3	0	returns cached field; cache/lazy naming or comment		133:// create and cache generic info repository
java.base	Cached Method	high	src/java.base/share/classes/java/lang/runtime/SwitchBootstraps.java	373	java.lang.runtime.SwitchBootstraps		generatedSwitch	471	MethodHandle	public	0	True	3	0	synchronized lazy path; cache/lazy naming or comment		372:MethodHandle generatedSwitch = enumCache.generatedSwitch; | 374:synchronized (enumCache) { | 375:generatedSwitch = enumCache.generatedSwitch;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/runtime/SwitchBootstraps.java	377	java.lang.runtime.SwitchBootstraps		generatedSwitch	471	MethodHandle	public	0	True	3	0	synchronized lazy path; cache/lazy naming or comment		374:synchronized (enumCache) { | 375:generatedSwitch = enumCache.generatedSwitch;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/runtime/SwitchBootstraps.java	393	java.lang.runtime.SwitchBootstraps		constantsMap	469	int[]	public	0	True	3	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		391:int[] constantsMap = enumCache.constantsMap; | 394:synchronized (enumCache) { | 395:constantsMap = enumCache.constantsMap;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/runtime/SwitchBootstraps.java	397	java.lang.runtime.SwitchBootstraps		constantsMap	469	int[]	public	0	True	3	0	synchronized lazy path; returns cached field; cache/lazy naming or comment		394:synchronized (enumCache) { | 395:constantsMap = enumCache.constantsMap;
java.base	Cached Method	high	src/java.base/share/classes/java/math/BigDecimal.java	3439	java.math.BigDecimal		sc	3442	return		0	False	2	0	returns cached field; cache/lazy naming or comment		3438:String sc = stringCache; | 3440:stringCache = sc = layoutChars(true);
java.base	Cached Method	high	src/java.base/share/classes/java/net/Inet4AddressImpl.java	52	java.net.Inet4AddressImpl		anyLocalAddress	83	InetAddress	private	0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/net/Inet4AddressImpl.java	60	java.net.Inet4AddressImpl		loopbackAddress	84	InetAddress	private	0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/net/Inet6AddressImpl.java	102	java.net.Inet6AddressImpl		anyLocalAddress	149	InetAddress	private	0	True	2	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/net/Inet6AddressImpl.java	116	java.net.Inet6AddressImpl		loopbackAddress	150	InetAddress	private	0	True	2	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/net/SocketPermission.java	1131	java.net.SocketPermission		actions	1134	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/share/classes/java/security/KeyStore.java	2170	java.security.KeyStore		keyStore	2156	KeyStore	private	0	True	2	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/share/classes/java/security/Provider.java	1922	java.security.Provider		b	1921	Boolean		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/share/classes/java/security/Provider.java	1925	java.security.Provider		b	1921	Boolean		0	True	3	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/share/classes/java/security/SecureRandom.java	871	java.security.SecureRandom		seedGen	870	SecureRandom		0	True	2	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/text/BreakIterator.java	564	java.text.BreakIterator		iterator	567	return		0	True	2	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/time/ZoneOffset.java	441	java.time.ZoneOffset		result	449	return		0	False	3	0	returns cached field; cache/lazy naming or comment		440:ZoneOffset result = QUARTER_CACHE.getOpaque(key); | 443:var existing = QUARTER_CACHE.compareAndExchange(key, null, result);
java.base	Cached Method	high	src/java.base/share/classes/java/time/chrono/AbstractChronology.java	231	java.time.chrono.AbstractChronology		chrono	292	return		0	False	4	0	returns cached field; cache/lazy naming or comment		235:} while (initCache());
java.base	Cached Method	high	src/java.base/share/classes/java/time/chrono/AbstractChronology.java	263	java.time.chrono.AbstractChronology		chrono	292	return		0	False	4	0	returns cached field; cache/lazy naming or comment		267:} while (initCache());
java.base	Cached Method	high	src/java.base/share/classes/java/time/format/DateTimeFormatterBuilder.java	3774	java.time.format.DateTimeFormatterBuilder		numberPrinterParser	3777	return		0	False	1	0	returns cached field; cache/lazy naming or comment		3770:* Create and cache a number printer parser.
java.base	Cached Method	high	src/java.base/share/classes/java/time/format/DateTimeTextProvider.java	313	java.time.format.DateTimeTextProvider		store	320	return		0	False	5	0	returns cached field; cache/lazy naming or comment		312:Object store = CACHE.get(key); | 315:var existing = CACHE.putIfAbsent(key, store);
java.base	Cached Method	high	src/java.base/share/classes/java/time/format/DecimalStyle.java	164	java.time.format.DecimalStyle		info	171	return		0	False	3	0	returns cached field; cache/lazy naming or comment		163:DecimalStyle info = CACHE.get(locale); | 166:var existing = CACHE.putIfAbsent(locale, info);
java.base	Cached Method	high	src/java.base/share/classes/java/time/temporal/WeekFields.java	340	java.time.temporal.WeekFields		rules	347	return		0	False	3	0	returns cached field; cache/lazy naming or comment		339:WeekFields rules = CACHE.get(key); | 342:WeekFields prev = CACHE.putIfAbsent(key, rules);
java.base	Cached Method	high	src/java.base/share/classes/java/time/zone/ZoneRules.java	756	java.time.zone.ZoneRules		transArray	767	return		0	False	8	0	returns cached field; cache/lazy naming or comment		755:ZoneOffsetTransition[] transArray = lastRulesCache.get(yearObj);
java.base	Cached Method	high	src/java.base/share/classes/java/util/Date.java	1297	java.util.Date		jcal	1310	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/util/Date.java	1307	java.util.Date		jcal	1310	return		0	True	1	0	synchronized lazy path; returns cached field		
